                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.80459,                0.48064,                 1.0832,                0.94418,                0.94348,                  0.972,                0.75765,                0.82241,                0.39884,                 1.0389,              0.0002378,              0.0002378,              0.0002378
                     91,                0.79046,                0.39915,                 1.0628,                0.94475,                0.94565,                0.96906,                0.76212,                 0.8087,                0.39557,                 1.0317,               0.000218,               0.000218,               0.000218
                     92,                0.77131,                0.38504,                 1.0505,                0.95408,                0.94857,                0.97677,                 0.7636,                0.81864,                0.39411,                 1.0308,              0.0001982,              0.0001982,              0.0001982
                     93,                 0.7666,                0.37182,                  1.054,                0.94803,                0.95184,                0.97483,                0.76627,                0.80645,                 0.3933,                  1.025,              0.0001784,              0.0001784,              0.0001784
                     94,                0.75941,                 0.3723,                 1.0399,                0.95106,                0.95064,                0.97428,                0.76663,                0.79937,                0.39472,                 1.0185,              0.0001586,              0.0001586,              0.0001586
                     95,                0.75324,                0.36716,                 1.0363,                0.95106,                0.95761,                0.97556,                0.76641,                0.80168,                0.39126,                 1.0218,              0.0001388,              0.0001388,              0.0001388
                     96,                0.74823,                0.36902,                 1.0387,                0.94717,                0.95652,                0.97599,                0.76608,                0.80141,                0.38836,                 1.0228,               0.000119,               0.000119,               0.000119
                     97,                0.73711,                0.36426,                 1.0252,                0.94637,                0.95897,                0.97701,                0.76813,                 0.7958,                0.38324,                 1.0201,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.74195,                0.36188,                 1.0293,                0.94043,                0.96093,                0.97623,                0.76879,                0.79525,                0.38344,                 1.0198,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.73545,                0.36284,                 1.0349,                0.94901,                0.95077,                0.97661,                0.77049,                0.79504,                0.38322,                  1.019,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.72894,                0.35215,                 1.0192,                0.94352,                0.95435,                0.97569,                0.76986,                0.79413,                0.38517,                 1.0186,               3.98e-05,               3.98e-05,               3.98e-05
